Designator,Mid X,Mid Y,Rotation,Layer
BR1,162.08,-92.95,0.0,bottom
BR2,153.617,-86.26,90.0,bottom
C1,161.02,-99.24,0.0,bottom
C10,118.18,-85.72,90.0,bottom
C2,158.48,-111.92,0.0,top
C3,148.84,-108.83,270.0,bottom
C4,162.89,-107.79,180.0,bottom
C5,156.37,-112.68,0.0,bottom
C6,145.92,-91.93,180.0,bottom
C7,134.25,-103.89,270.0,bottom
C8,125.48,-85.71,90.0,bottom
C9,121.84,-85.72,90.0,bottom
D1,154.3875,-98.42,0.0,bottom
D2,152.86,-113.16,90.0,bottom
D3,149.71,-98.2975,270.0,bottom
D4,132.042,-88.02,180.0,bottom
FB1,156.45,-93.12,90.0,bottom
FB2,152.44,-93.14,90.0,bottom
J1,111.52,-78.91,270.0,bottom
J2,162.05,-84.96,270.0,bottom
L1,162.14,-112.27,0.0,bottom
R1,162.91,-105.29,0.0,bottom
R2,162.93,-102.84,0.0,bottom
R3,156.34,-115.11,0.0,bottom
R4,150.4,-104.73,0.0,bottom
R5,150.42,-101.47,180.0,bottom
R6,156.41,-110.32,0.0,bottom
R7,147.41,-97.65,270.0,bottom
R8,134.29,-98.79,270.0,bottom
U1,156.54,-105.15,0.0,bottom
U2,144.81,-106.67,180.0,top
